Control ID,SCF ID,Description,Aggregate Coverage,VCF Coverage,VCF Response,VMware vDefend Coverage,VMware vDefend Response,VCF Protection and Recovery Coverage,VCF Protection and Recovery Response,VMware Data Services Manager Coverage,VMware Data Services Manager Response,VMware Avi Load Balancer Coverage,VMware Avi Load Balancer Response
GOVERN 1.1,"CPL-01, GOV-01","Legal and regulatory requirements involving AI are understood, managed, and documented.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOVERN 1.2,"AAT-01, GOV-01, OPS-01.1","The characteristics of trustworthy AI are integrated into organizational policies, processes, procedures, and practices.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOVERN 1.3,OPS-01.1,"Processes, procedures, and practices are in place to determine the needed level of risk management activities based on the organization’s risk tolerance.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOVERN 1.4,"AAT-07, RSK-01","The risk management process and its outcomes are established through transparent policies, procedures, and other controls based on organizational risk priorities.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOVERN 1.5,"AAT-08, HRS-03","Ongoing monitoring and periodic review of the risk management process and its outcomes are planned and organizational roles and responsibilities clearly defined, including determining the frequency of periodic review.",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOVERN 1.6,"AAT-02, AST-02",Mechanisms are in place to inventory AI systems and are resourced according to organizational risk priorities.,Contributes,Contributes,"VMware Private AI Services (PAIS) provides a centralized inventory of AI models through the Model Gallery in Harbor Registry. Each model gallery has a unique name and is organized within Harbor projects with configured user access controls. Model revisions are stored as OCI artifacts with immutable manifests, and each revision is assigned a unique digest, giving a verifiable record of every model version in the inventory.

OCI metadata describes model contents and dependencies, supporting identification of compatible platforms and giving visibility into what each model requires. The vcf pais models list command retrieves and displays all models available in a model gallery, giving operators a direct inventory view. Model Runtime tracks which models are actively deployed to inference endpoints, distinguishing between stored and deployed models.

For third-party AI components, PAIS validates running AI workloads based on NVIDIA GPU Cloud (NGC) containers, a curated catalog of GPU-optimized, pre-tested containers. In disconnected environments, a Harbor registry stores container images from the NGC catalog, acting as a controlled intermediary that makes third-party AI components visible and trackable within the organization's infrastructure.",Contributes,"VMware vDefend's Security Services Platform (SSP) maintains an inventory of network-visible workloads organized into a hierarchical asset collection spanning regions, zones, environments, applications, and application tiers. The Publish Inventory Assets tab in SSP displays infrastructure asset details including asset names, asset types, IP addresses, and total VM counts for assets sourced from imported CSV files, discovered services, or published infrastructure assets, providing accurate, granular records of network-visible assets.

Platform Inventory monitoring supports ongoing inventory accuracy through several mechanisms. Administrators can filter infrastructure assets by Name and Status, identifying assets that are timed out or out of sync. The inventory hierarchy view shows regions, zones, and VMs so administrators can verify correct definition. SSP Inventory displays assigned tags for each infrastructure asset, and environment rows can be expanded to view tag assignments and confirm hierarchy accuracy. The platform also collects and displays VM tags with their respective scopes, supporting classification and tracking. Published applications and their application types are verifiable in the Inventory > Applications interface.

SSP identifies and publishes application assets, classifying them as either critical or regular applications. Application Asset Collections represent groups of workloads delivering enterprise software functions. Security Intelligence within SSP displays application associations for compute entities, indicating the tiers within each application to which a given compute entity belongs. Administering compute entity classifications in Security Intelligence requires appropriate privileges, supporting access control over classification changes. Consistent naming conventions are recommended when preparing inventory data for import, and the Asset Prefix setting enables standardized naming during segmentation planning and monitoring.

In disconnected mode, usage files include an asset_id field providing a unique asset identifier, supporting asset tracking in environments without continuous connectivity.

vDefend's inventory scope is limited to network-visible workloads and does not replace enterprise-wide TAASD inventory tools, authorized software catalogs with business justification records, or data asset registries required for full AST-02 compliance.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Contributes,"VMware Data Services Manager (DSM) contributes to asset inventory requirements by providing built-in visibility into the database instances, infrastructure resources, and users it manages. This visibility supports tracking and accountability for the subset of technology assets that DSM governs. Organization-wide TAASD inventory across all asset categories requires organizational processes and additional tooling beyond DSM itself.

DSM tracks the association between deployed databases and the infrastructure policies under which they were provisioned. Administrators can review databases and their configuration details through the Databases tab in the Infrastructure Policies view of the DSM Administrator UI, which displays each policy alongside the databases bound to it. Because infrastructure policies define the compute, storage, and networking resources allocated to databases, including allowed VM classes, this view gives administrators a structured picture of how platform resources are being consumed. The About the DSM UI Views section confirms the Infrastructure Policies view lists all policies available in the environment and the databases associated with each.

DSM administrators can define and configure data service policies for the data services DSM manages, supporting compliance with organizational standards across tenants. Each policy can be tailored to specific requirements and assigned to one or more organizations to enforce consistent configurations. For tenant-facing self-service, the DSM Consumption Operator creates infrastructure policies as cluster-scoped resources in the consumption cluster and requires an allowedInfrastructurePolicies list that defines which policies a tenant cluster may use, giving administrators a clear inventory of the policies in scope per cluster. Tenant users create and consume databases under a Supervisor namespace through the VCF Automation Cloud Consumption Interface (CCI), and the DSM portal exposes a Consumption Operator endpoint that provides access to deployment artifacts.

For database-level visibility, the Database Health view in the DSM UI collects metric data for each database instance and cross-references alerts with resolution paths. DSM deploys a Telegraf agent on the Provider Appliance and a local Telegraf agent on each workload cluster to gather VM-level metrics such as CPU, memory, and disk usage, plus engine-specific metrics. DSM can forward metrics to an external Metrics target server, supporting integration with external monitoring or inventory aggregation systems.

For auditors, DSM's inventory-relevant information is accessible through the Administrator UI and is available to personnel with the Admin role. The Databases tab, Infrastructure Policies view, Database Health view, and Consumption Operator policy inventory collectively provide the granularity needed to account for DSM-managed database assets and the policies governing them. The documented DSM user roles (vSphere administrator, VCF Automation organization administrator, VCF Automation project user) clarify which personnel have visibility into which inventory views.

DSM provides resource tracking and visibility within its own management scope. DSM does not perform organization-wide asset discovery and does not inventory physical infrastructure, non-database applications, or data assets outside its management domain. A TAASD inventory program spanning all asset categories requires a CMDB or dedicated asset management solution that can aggregate DSM resource data alongside information from other platform components.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOVERN 1.7,"AAT-01, AST-30",Processes and procedures are in place for decommissioning and phasing out AI systems safely and in a manner that does not increase risks or decrease the organization’s trustworthiness.,Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOVERN 2.1,AAT-08,"Roles and responsibilities and lines of communication related to mapping, measuring, and managing AI risks are documented and are clear to individuals and teams throughout the organization.",Contributes,Contributes,"VMware Private AI Services (PAIS) supports differentiated roles and responsibilities across the AI workload lifecycle through platform-level access controls layered on the VCF identity model. Platform administrators manage infrastructure setup: they deploy infrastructure, configure GPU-accelerated workload domains, and add the PAIS supervisor service to the supervisor before any AI workloads can be deployed. This role controls the foundational infrastructure on which AI operations depend.

Organization administrators control namespace imports and grant permissions for AI catalog items. The organization administrator token is required for API calls that import namespaces into VCF Automation organizations, centralizing oversight of which AI capabilities are exposed. Organization administrators must grant permissions before users can request AI catalog items, providing a gatekeeping function over AI deployments.

DevOps engineers are scoped to project and namespace membership for provisioning GPU-accelerated VMware Kubernetes Service (VKS) clusters and related infrastructure. Data scientists and MLOps engineers provision models and retrieval-augmented generation (RAG) applications through PAIS. The MLOps role carries specific validation responsibilities: MLOps engineers validate ML models against the security, privacy, and technical requirements of the organization before uploading them to the model gallery, including testing inference functionality and evaluating performance and safety against business use cases.

Access to PAIS is authorized through OIDC groups specified in the authorizedGroups configuration, tying role enforcement to VCF SSO. Namespace-scoped permissions confine each role's actions to assigned boundaries within the platform.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOVERN 3.2,AAT-08,Policies and procedures are in place to define and differentiate roles and responsibilities for human-AI configurations and oversight of AI systems.,Contributes,Contributes,"VMware Private AI Services (PAIS) supports differentiated roles and responsibilities across the AI workload lifecycle through platform-level access controls layered on the VCF identity model. Platform administrators manage infrastructure setup: they deploy infrastructure, configure GPU-accelerated workload domains, and add the PAIS supervisor service to the supervisor before any AI workloads can be deployed. This role controls the foundational infrastructure on which AI operations depend.

Organization administrators control namespace imports and grant permissions for AI catalog items. The organization administrator token is required for API calls that import namespaces into VCF Automation organizations, centralizing oversight of which AI capabilities are exposed. Organization administrators must grant permissions before users can request AI catalog items, providing a gatekeeping function over AI deployments.

DevOps engineers are scoped to project and namespace membership for provisioning GPU-accelerated VMware Kubernetes Service (VKS) clusters and related infrastructure. Data scientists and MLOps engineers provision models and retrieval-augmented generation (RAG) applications through PAIS. The MLOps role carries specific validation responsibilities: MLOps engineers validate ML models against the security, privacy, and technical requirements of the organization before uploading them to the model gallery, including testing inference functionality and evaluating performance and safety against business use cases.

Access to PAIS is authorized through OIDC groups specified in the authorizedGroups configuration, tying role enforcement to VCF SSO. Namespace-scoped permissions confine each role's actions to assigned boundaries within the platform.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
GOVERN 4.1,"AAT-01, GOV-01","Organizational policies and practices are in place to foster a critical thinking and safety-first mindset in the design, development, deployment, and uses of AI systems to minimize potential negative impacts. Continued on next page",Not Applicable,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
